# x y width height page text
228 77 66 75 1 135
148 122 80 55 1 133
294 78 81 99 1 137
377 77 41 100 1 139
147 178 91 67 1 131
140 330 109 134 1 129
140 466 109 141 1 127
139 608 109 138 1 125
139 746 109 133 1 123
139 880 109 141 1 121
137 1023 111 143 1 119
317 442 103 101 1 116
317 544 103 133 1 114
287 1055 135 107 1 117
473 1055 135 109 1 115
609 1055 131 109 1 113
741 1056 210 108 1 111
577 890 108 96 1 146
686 890 55 97 1 112
741 890 89 97 1 151
831 890 51 97 1 110
883 890 39 97 1 108
923 890 116 97 1 106
1242 889 41 96 1 109
1284 889 61 27 1 2m
1284 960 61 23 1 4m
1378 890 75 43 1 1m
1378 933 75 49 1 3m
1377 983 78 73 1 5m
776 63 251 112 1 103
812 175 130 65 1 101
777 240 204 113 1 102
980 240 48 113 1 104
1123 281 167 423 1 105
1095 705 111 85 1 107
199 53 224 115 2 201
423 53 51 115 2 203
474 42 151 117 2 205
626 42 41 117 2 207
828 42 207 113 2 209
1036 42 44 113 2 211
366 233 53 113 2 202
419 233 54 112 2 204
473 220 141 111 2 206
615 220 134 111 2 208
750 220 132 111 2 210
883 220 134 111 2 212
1017 220 58 111 2 214
1214 260 55 61 2 213
1270 252 71 69 2 215
1342 252 81 69 2 217
1423 252 88 69 2 219
1173 350 339 335 2 221
954 463 88 94 2 216
954 557 88 177 2 218
1173 685 86 38 2 223
1173 723 86 39 2 225
1173 762 86 95 2 227
1387 857 98 129 2 229
1387 986 98 131 2 231
1222 1018 165 100 2 233
1174 1018 47 99 2 235
1054 1018 118 100 2 237
924 1018 129 99 2 239
837 861 131 101 2 220
794 861 43 101 2 222
630 860 163 101 2 224
794 1018 129 99 2 241
528 1018 128 101 2 245
657 1018 136 100 2 243
346 1018 133 102 2 247
209 1002 103 117 2 249
209 867 103 134 2 251
366 570 108 91 2 226
366 479 108 91 2 228
209 728 103 138 2 253
209 597 103 131 2 255
209 450 103 146 2 257
209 320 103 130 2 259
227 62 290 120 3 301
517 54 154 119 3 303
672 55 46 117 3 305
882 55 145 119 3 307
1028 55 36 119 3 309
1065 55 76 119 3 311
405 249 115 57 3 302
521 235 141 115 3 304
663 235 137 114 3 306
801 235 135 115 3 308
937 235 137 115 3 310
1075 235 57 115 3 312
1232 282 38 61 3 313
1139 367 54 121 3 314
1006 488 187 95 3 316
1063 585 129 86 3 318
1006 671 187 92 3 320
1139 764 54 134 3 322
1232 712 95 39 3 315
1232 752 95 146 3 317
250 341 95 129 3 349
250 470 95 152 3 347
405 454 115 147 3 332
250 623 95 141 3 345
405 601 115 91 3 330
250 764 95 142 3 343
251 907 94 132 3 341
250 1040 95 133 3 339
381 1061 137 112 3 337
570 1062 133 111 3 335
679 899 167 105 3 328
847 899 45 105 3 326
893 899 132 105 3 324
1457 899 112 137 3 319
1457 1036 112 137 3 321
704 1062 139 111 3 333
843 1062 136 111 3 331
979 1062 136 111 3 329
1116 1062 119 111 3 327
1236 1062 124 111 3 325
1361 1062 96 111 3 323
